expiration_date,strike,iv
03/15/2019,2770,0.1268
03/15/2019,2775,0.1255
03/15/2019,2780,0.1239
03/15/2019,2785,0.1228
03/15/2019,2790,0.1214
03/15/2019,2795,0.1204
03/15/2019,2800,0.1193
03/15/2019,2805,0.1183
03/15/2019,2810,0.1176
03/15/2019,2815,0.1163
03/15/2019,2820,0.1156
03/15/2019,2825,0.1147
03/15/2019,2830,0.1138
03/15/2019,2835,0.1132
03/15/2019,2840,0.1125
03/15/2019,2845,0.1119
03/15/2019,2850,0.1113
03/15/2019,2855,0.1109
03/15/2019,2860,0.1103
03/15/2019,2865,0.1101
03/15/2019,2870,0.1094
03/15/2019,2875,0.1088
03/15/2019,2880,0.1085
03/15/2019,2885,0.1086
03/15/2019,2890,0.1086
03/15/2019,2895,0.1084
03/15/2019,2900,0.1086
03/15/2019,2905,0.1085
03/15/2019,2910,0.1093
03/15/2019,2915,0.109
03/15/2019,2920,0.1096
03/15/2019,2925,0.1095
03/15/2019,2930,0.11
03/15/2019,2935,0.1106
03/15/2019,2940,0.1111
03/15/2019,2945,0.1119
03/15/2019,2950,0.1124
03/15/2019,2955,0.1135
03/15/2019,2960,0.1137
03/15/2019,2965,0.1144
03/15/2019,2970,0.1158
03/15/2019,2975,0.1172
03/15/2019,2980,0.1175
03/15/2019,2985,0.1186
03/15/2019,2990,0.1197
03/15/2019,2995,0.1205
03/15/2019,3000,0.1198
03/15/2019,3010,0.1224
03/15/2019,3020,0.1248
03/15/2019,3025,0.1248
03/15/2019,3030,0.1268
03/15/2019,3040,0.1283
03/15/2019,3050,0.1292
03/15/2019,3060,0.133
03/15/2019,3075,0.1388
03/15/2019,3100,0.1391
03/15/2019,3125,0.1479
03/15/2019,3150,0.1566
03/15/2019,3175,0.1652
03/15/2019,3200,0.1735
03/15/2019,3225,0.1822
03/15/2019,3250,0.1902
03/15/2019,3275,0.1876
03/15/2019,3300,0.1954
06/21/2019,2775,0.1439
06/21/2019,2800,0.1393
06/21/2019,2825,0.1348
06/21/2019,2850,0.1308
06/21/2019,2875,0.1268
06/21/2019,2900,0.1231
06/21/2019,2925,0.12
06/21/2019,2950,0.1172
06/21/2019,2975,0.115
06/21/2019,3000,0.1135
06/21/2019,3025,0.1124
06/21/2019,3050,0.112
06/21/2019,3075,0.1125
06/21/2019,3100,0.1135
06/21/2019,3125,0.1151
06/21/2019,3150,0.1173
06/21/2019,3175,0.1196
06/21/2019,3200,0.1222
06/21/2019,3225,0.1251
06/21/2019,3250,0.1285
06/21/2019,3275,0.1309
06/21/2019,3300,0.1342
09/20/2019,2775,0.1505
09/20/2019,2800,0.1469
09/20/2019,2825,0.1429
09/20/2019,2850,0.1393
09/20/2019,2875,0.1356
09/20/2019,2900,0.1322
09/20/2019,2925,0.1288
09/20/2019,2950,0.1257
09/20/2019,2975,0.1233
09/20/2019,3000,0.1205
09/20/2019,3025,0.1184
09/20/2019,3050,0.1167
09/20/2019,3075,0.1153
09/20/2019,3100,0.1142
09/20/2019,3125,0.114
09/20/2019,3150,0.1138
09/20/2019,3175,0.114
09/20/2019,3200,0.1146
09/20/2019,3225,0.1156
09/20/2019,3250,0.1163
09/20/2019,3275,0.1178
09/20/2019,3300,0.1194
12/20/2019,2775,0.1541
12/20/2019,2800,0.1511
12/20/2019,2825,0.1478
12/20/2019,2850,0.1446
12/20/2019,2875,0.141
12/20/2019,2900,0.138
12/20/2019,2925,0.135
12/20/2019,2950,0.1322
12/20/2019,2975,0.1296
12/20/2019,3000,0.1273
12/20/2019,3025,0.1251
12/20/2019,3050,0.123
12/20/2019,3075,0.1211
12/20/2019,3100,0.1198
12/20/2019,3125,0.1185
12/20/2019,3150,0.1177
12/20/2019,3175,0.1171
12/20/2019,3200,0.1168
12/20/2019,3225,0.1165
12/20/2019,3250,0.1167
12/20/2019,3275,0.1168
12/20/2019,3300,0.1176
03/15/2019,2215,0.345
03/15/2019,2220,0.3436
03/15/2019,2225,0.3418
03/15/2019,2230,0.3387
03/15/2019,2235,0.3378
03/15/2019,2240,0.3349
03/15/2019,2245,0.3318
03/15/2019,2250,0.3308
03/15/2019,2255,0.3279
03/15/2019,2260,0.3259
03/15/2019,2265,0.3238
03/15/2019,2270,0.3215
03/15/2019,2275,0.3196
03/15/2019,2280,0.3166
03/15/2019,2285,0.3152
03/15/2019,2290,0.3122
03/15/2019,2295,0.3101
03/15/2019,2300,0.3087
03/15/2019,2305,0.3055
03/15/2019,2310,0.3033
03/15/2019,2315,0.3019
03/15/2019,2320,0.2996
03/15/2019,2325,0.2969
03/15/2019,2330,0.2957
03/15/2019,2335,0.2933
03/15/2019,2340,0.2906
03/15/2019,2345,0.2892
03/15/2019,2350,0.2871
03/15/2019,2355,0.2842
03/15/2019,2360,0.2828
